iter	Passed	Remaining
191	105090	442254
192	105681	441891
193	106188	441174
194	106682	440408
195	107134	439468
196	107715	439063
197	108268	438540
198	108726	437639
199	109338	437355
200	109803	436484
201	110321	435825
202	110797	435001
203	111235	434036
204	111713	433232
205	112336	432985
206	112858	432353
207	113476	432082
208	113964	431321
209	114437	430502
210	115041	430177
211	115642	429841
212	116126	429069
213	116599	428257
214	117087	427506
215	117583	426786
216	118059	425992
217	118762	426019
218	119447	425974
219	119932	425214
220	120471	424650
221	120951	423874
222	121440	423137
223	122003	422654
224	122463	421817
225	122998	421243
226	123687	421191
227	124146	420354
228	124667	419730
229	125313	419526
230	125839	418920
231	126387	418386
232	126885	417685
233	127365	416930
234	127946	416506
235	128409	415699
236	128941	415116
237	129365	414187
238	129953	413786
239	130418	412993
240	130956	412431
241	131446	411721
242	131940	411025
243	132451	410382
244	132950	409704
245	133413	408918
246	133942	408335
247	134546	407978
248	135068	407375
249	135724	407172
250	136350	406879
251	136796	406047
252	137363	405574
253	137999	405306
254	138508	404661
255	139033	404064
256	139616	403639
257	140146	403056
258	140658	402425
259	141083	401546
260	141723	401279
261	142241	400665
262	142692	399865
263	143209	399250
264	143725	398633
265	144390	398430
266	144865	397701
267	145388	397106
268	145962	396648
269	146484	396051
270	146995	395422
271	147571	394969
272	148121	394447
273	148643	393852
274	149196	393337
275	149777	392895
276	150352	392436
277	150771	391572
278	151457	391401
279	152071	391040
280	152591	390438
281	153164	389970
282	153650	389284
283	154180	388709
284	154700	388109
285	155242	387563
286	155771	386986
287	156298	386405
288	156868	385930
289	157382	385316
290	158070	385126
291	158544	384416
292	159031	383739
293	159429	382847
294	159977	382319
295	160453	381619
296	161009	381109
297	161513	380477
298	162077	379988
299	162568	379325
300	163070	378691
301	163515	377926
302	164052	377374
303	164696	377067
304	165218	376480
305	165851	376146
306	166330	375462
307	166902	374988
308	167369	374278
309	167838	373575
310	168306	372871
311	168796	372218
312	169424	371868
313	169849	371072
314	170264	370257
315	170757	369615
316	171352	369192
317	171884	368632
318	172316	367860
319	172794	367189
320	173323	366625
321	173723	365791
322	174270	365267
323	174830	364770
324	175393	364279
325	175973	363822
326	176531	363320
327	177009	362653
328	177556	362129
329	178080	361558
330	178775	361332
331	179482	361126
332	180023	360586
333	180492	359903
334	180915	359130
335	181524	358727
336	182002	358063
337	182555	357549
338	183098	357015
339	183589	356379
340	184140	355861
341	184711	355381
342	185294	354922
343	185822	354358
344	186316	353731
345	186812	353108
346	187335	352536
347	187808	351871
348	188354	351343
349	188852	350725
350	189370	350145
351	189951	349684
352	190531	349218
353	191027	348598
354	191548	348025
355	192121	347544
356	192707	347089
357	193346	346727
358	193866	346151
359	194363	345535
360	195015	345194
361	195557	344657
362	196022	343984
363	196611	343530
364	197127	342948
365	197596	342284
366	198111	341701
367	198598	341071
368	199295	340800
369	199947	340451
370	200460	339863
371	200981	339290
372	201454	338638
373	202047	338186
374	202558	337597
375	203087	337038
376	203659	336550
377	204289	336159
378	204774	335527
379	205288	334943
380	205756	334286
381	206231	333640
382	206760	333083
383	207281	332514
384	207752	331863
385	208319	331367
386	208799	330734
387	209258	330068
388	209782	329503
389	210431	329135
390	210904	328493
391	211340	327793
392	211912	327305
393	212451	326765
394	212911	326104
395	213418	325516
396	213929	324936
397	214466	324393
398	215078	323965
399	215688	323532
400	216177	322918
401	216660	322295
402	217131	321656
403	217662	321106
404	218214	320586
405	218849	320188
406	219450	319740
407	219996	319210
408	220544	318683
409	221181	318285
410	221703	317721
411	222453	317481
412	223038	317006
413	223677	316605
414	224166	315993
415	224687	315426
416	225214	314868
417	225788	314375
418	226352	313867
419	226907	313347
420	227446	312805
421	227927	312185
422	228560	311771
423	229089	311215
424	229582	310611
425	230079	310013
426	230620	309474
427	231232	309030
428	231719	308419
429	232249	307866
430	232765	307293
431	233354	306817
432	233838	306203
433	234275	305529
434	234779	304943
435	235290	304367
436	236044	304102
437	236578	303554
438	237079	302965
439	237578	302372
440	238057	301754
441	238533	301134
442	239097	300626
443	239596	300035
444	240112	299465
445	240803	299114
446	241478	298741
447	242081	298279
448	242618	297734
449	243092	297112
450	243607	296542
451	244022	295850
452	244476	295206
453	245151	294829
454	245606	294188
455	246243	293764
456	246771	293209
457	247278	292630
458	247769	292033
459	248375	291570
460	248814	290913
461	249297	290308
462	249810	289737
463	250409	289266
464	251057	288851
465	251513	288214
466	252008	287623
467	252491	287020
468	252979	286422
469	253519	285883
470	253985	285261
471	254493	284687
472	254963	284071
473	255452	283477
474	255958	282902
475	256504	282370
476	257025	281812
477	257573	281282
478	258057	280684
479	258526	280070
480	259050	279515
481	259530	278914
482	260010	278313
483	260476	277697
484	260933	277073
485	261407	276468
486	261899	275881
487	262322	275224
488	262923	274752
489	263388	274138
490	263856	273529
491	264364	272962
492	264894	272417
493	265350	271796
494	265902	271274
495	266424	270722
496	266998	270221
497	267714	269865
498	268278	269354
499	268760	268760
500	269246	268171
501	269750	267601
502	270344	267119
503	270909	266609
504	271389	266015
505	271854	265406
506	272357	264837
507	272981	264383
508	273464	263793
509	273907	263166
510	274454	262638
511	274901	262015
512	275437	261477
513	276090	261050
514	276578	260467
515	277100	259916
516	277702	259439
517	278173	258840
518	278725	258317
519	279172	257697
520	279743	257192
521	280289	256663
522	280843	256142
523	281333	255562
524	281873	255028
525	282354	254440
526	282866	253882
527	283344	253293
528	283835	252715
529	284439	252238
530	284884	251621
531	285439	251100
532	286033	250614
533	286494	250012
534	287111	249545
535	287679	249035
536	288157	248448
537	288684	247903
538	289259	247400
539	289861	246918
540	290348	246340
541	290903	245818
542	291422	245266
543	291905	244685
544	292454	244158
545	292972	243606
546	293474	243042
547	294012	242506
548	294559	241978
549	295043	241398
550	295588	240869
551	296057	240278
552	296681	239813
553	297170	239238
554	297720	238713
555	298272	238188
556	298856	237690
557	299293	237074
558	299851	236555
559	300354	235992
560	300963	235513
561	301414	234910
562	302155	234532
563	302663	233974
564	303225	233456
565	303772	232927
566	304296	232381
567	304799	231819
568	305305	231259
569	305811	230699
570	306330	230150
571	306797	229561
572	307276	228982
573	307879	228495
574	308424	227965
575	308904	227387
576	309512	226904
577	309984	226320
578	310517	225781
579	311096	225276
580	311606	224721
581	312131	224177
582	312788	223726
583	313326	223191
584	313808	222616
585	314358	222089
586	314949	221591
587	315443	221025
588	315900	220433
589	316462	219914
590	316947	219342
591	317417	218760
592	317898	218186
593	318448	217659
594	319003	217136
595	319475	216557
596	320046	216044
597	320616	215531
598	321077	214944
599	321576	214384
600	322093	213835
601	322527	213232
602	322967	212633
603	323585	212152
604	324028	211555
605	324594	211039
606	325122	210499
607	325621	209940
608	326093	209363
609	326572	208792
610	327146	208281
611	327640	207719
612	328127	207153
613	328619	206591
614	329174	206068
615	329674	205511
616	330256	205005
617	330786	204466
618	331219	203868
619	331707	203304
620	332270	202786
621	332950	202339
622	333481	201802
623	333963	201234
624	334596	200758
625	335130	200221
626	335781	199755
627	336231	199169
628	336866	198692
629	337458	198189
630	337971	197641
631	338461	197079
632	339029	196561
633	339543	196014
634	340056	195465
635	340493	194873
636	340948	194292
637	341440	193732
638	341964	193191
639	342530	192673
640	342982	192091
641	343537	191567
642	344090	191042
643	344667	190530
644	345197	189992
645	345623	189397
646	346130	188847
647	346635	188295
648	347225	187790
649	347703	187224
650	348288	186716
651	348805	186172
652	349341	185637
653	349828	185077
654	350470	184599
655	351002	184062
656	351611	183565
657	352140	183027
658	352797	182555
659	353275	181990
660	353740	181419
661	354216	180853
662	354687	180286
663	355187	179733
664	355638	179156
665	356182	178626
666	356703	178084
667	357142	177501
668	357663	176960
669	358423	176536
670	358952	175999
671	359406	175424
672	360132	174982
673	360626	174427
674	361310	173964
675	361865	173438
676	362398	172902
677	362880	172341
678	363364	171781
679	363870	171233
680	364390	170691
681	364941	170163
682	365401	169593
683	365954	169066
684	366590	168577
685	367290	168118
686	367796	167569
687	368336	167036
688	368852	166491
689	369326	165929
690	369841	165385
691	370401	164860
692	371004	164355
693	371618	163854
694	372072	163283
695	372508	162704
696	373198	162237
697	373712	161692
698	374148	161114
699	374629	160555
700	375067	159978
701	375523	159410
702	376097	158891
703	376569	158330
704	377136	157809
705	377628	157256
706	378096	156693
707	378541	156121
708	379036	155570
709	379526	155017
710	380054	154480
711	380535	153924
712	380966	153348
713	381499	152813
714	381958	152249
715	382585	151751
716	383053	151191
717	383675	150691
718	384100	150114
719	384698	149605
720	385269	149084
721	385873	148577
722	386446	148057
723	387082	147561
724	387652	147040
725	388138	146487
726	388729	145973
727	389275	145443
728	389717	144874
729	390179	144313
730	390776	143801
731	391329	143273
732	391923	142760
733	392382	142198
734	392842	141637
735	393340	141089
736	393828	140538
737	394312	139986
738	394861	139457
739	395438	138937
740	395997	138412
741	396518	137872
742	396976	137312
743	397501	136774
744	398048	136244
745	398499	135682
746	399009	135139
747	399600	134624
748	400033	134056
749	400666	133555
750	401195	133019
751	401665	132464
752	402151	131914
753	402645	131367
754	403172	130830
755	403663	130282
756	404164	129738
757	404728	129214
758	405185	128655
759	405776	128140
760	406348	127617
761	406877	127082
762	407380	126538
763	407937	126012
764	408494	125485
765	409006	124944
766	409487	124394
767	410040	123866
768	410589	123337
769	411064	122785
770	411557	122239
771	412042	121691
772	412483	121130
773	413011	120594
774	413580	120071
775	414097	119533
776	414577	118984
777	415163	118465
778	415615	117908
779	416104	117362
780	416624	116825
781	417180	116298
782	417690	115758
783	418200	115218
784	418656	114663
785	419158	114122
786	419659	113579
787	420125	113028
788	420615	112483
789	421093	111936
790	421601	111396
791	422149	110867
792	422772	110358
793	423232	109805
794	423811	109284
795	424333	108748
796	424789	108196
797	425314	107661
798	425840	107126
799	426312	106578
800	427023	106089
801	427597	105566
802	428054	105014
803	428533	104468
804	428972	103912
805	429697	103426
806	430346	102920
807	430865	102383
808	431445	101861
809	432031	101340
810	432562	100806
811	433025	100257
812	433705	99757
813	434205	99216
814	434684	98670
815	435186	98130
816	435691	97590
817	436379	97091
818	436830	96539
819	437367	96007
820	437910	95476
821	438605	94977
822	439101	94436
823	439658	93907
824	440122	93359
825	440655	92825
826	441241	92303
827	441706	91755
828	442327	91240
829	442774	90688
830	443344	90162
831	443804	89614
832	444264	89066
833	444895	88552
834	445422	88017
835	445996	87492
836	446519	86956
837	446973	86407
838	447480	85869
839	447909	85316
840	448439	84782
841	448985	84251
842	449495	83713
843	449948	83165
844	450415	82620
845	450971	82091
846	451443	81547
847	451822	80987
848	452308	80445
849	452840	79912
850	453394	79384
851	453927	78851
852	454455	78317
853	455024	77791
854	455576	77261
855	456158	76736
856	456689	76203
857	457256	75676
858	457708	75130
859	458206	74591
860	458725	74056
861	459232	73519
862	459840	72998
863	460346	72461
864	460842	71923
865	461390	71392
866	461877	70853
867	462469	70329
868	463070	69806
869	463578	69270
870	464078	68732
871	464606	68199
872	465167	67670
873	465704	67138
874	466226	66603
875	466757	66070
876	467348	65546
877	467837	65007
878	468413	64480
879	468920	63943
880	469492	63416
881	470030	62883
882	470475	62339
883	470977	61802
884	471498	61268
885	472135	60748
886	472641	60212
887	473107	59671
888	473714	59147
889	474212	58610
890	474823	58087
891	475377	57556
892	475964	57030
893	476515	56499
894	477002	55961
895	477464	55419
896	477954	54882
897	478493	54350
898	479079	53823
899	479588	53287
900	480266	52770
901	480780	52235
902	481247	51695
903	481684	51152
904	482222	50620
905	482781	50089
906	483237	49549
907	483793	49018
908	484394	48492
909	484961	47963
910	485453	47426
911	485978	46892
912	486492	46357
913	487089	45831
914	487618	45297
915	488121	44762
916	488651	44229
917	489173	43695
918	489628	43155
919	490163	42622
920	490840	42102
921	491341	41566
922	491824	41029
923	492267	40489
924	492773	39954
925	493329	39423
926	493835	38888
927	494387	38357
928	494902	37823
929	495533	37298
930	496038	36763
931	496565	36230
932	497023	35691
933	497478	35153
934	497956	34617
935	498486	34084
936	499009	33551
937	499509	33016
938	500027	32483
939	500539	31949
940	500987	31411
941	501467	30875
942	502043	30346
943	502530	29811
944	503046	29277
945	503577	28745
946	504023	28208
947	504526	27674
948	505041	27141
949	505599	26610
950	506240	26083
951	506870	25556
952	507467	25027
953	507989	24494
954	508522	23961
955	509080	23430
956	509645	22899
957	510272	22371
958	510820	21839
959	511288	21303
960	511781	20769
961	512396	20240
962	512957	19708
963	513509	19176
964	514049	18644
965	514698	18115
966	515165	17580
967	515663	17046
968	516267	16516
969	516816	15984
970	517347	15451
971	517833	14917
972	518409	14385
973	518894	13851
974	519397	13317
975	520013	12787
976	520530	12254
977	521098	11722
978	521627	11189
979	522086	10654
980	522605	10121
981	523170	9589
982	523646	9055
983	524161	8522
984	524692	7990
985	525291	7458
986	525807	6925
987	526206	6391
988	526704	5858
989	527243	5325
990	527835	4793
991	528386	4261
992	528920	3728
993	529416	3195
994	529931	2662
995	530405	2130
996	530973	1597
997	531586	1065
998	532082	532
999	532750	0
