iter	MultiClass
0	0.6537198126
1	0.4723375677
2	0.3670384061
3	0.3260966
4	0.288374524
5	0.2433175081
6	0.218285722
7	0.1901346929
8	0.1790575079
9	0.160397486
10	0.1431087634
11	0.1329573895
12	0.1243108074
13	0.1193420773
14	0.1051978382
15	0.09899265855
16	0.09651151315
17	0.09257106207
18	0.09001832754
19	0.08628495709
20	0.08217465916
21	0.0784503997
22	0.07487004701
23	0.0737837175
24	0.07214248599
25	0.07046907612
26	0.068447652
27	0.0654355689
28	0.06329726079
29	0.06165066538
30	0.05808563083
31	0.05715388946
32	0.05391626211
33	0.05303233793
34	0.05190959103
35	0.05142152007
36	0.0505990364
37	0.04880613565
38	0.04827339756
39	0.04736392426
40	0.04602513983
41	0.04502148844
42	0.04395830659
43	0.04268283155
44	0.04227026142
45	0.04184622543
46	0.04166250245
47	0.04121120136
48	0.04048217363
49	0.03965779625
50	0.0389288698
51	0.03859410138
52	0.03724481956
53	0.03620074077
54	0.03600661119
55	0.03546265612
56	0.03499810793
57	0.03459815533
58	0.03382230479
59	0.03369027289
60	0.03218615453
61	0.0319267352
62	0.03161576655
63	0.0312040322
64	0.03116604842
65	0.03100113175
66	0.03043346128
67	0.03031912535
68	0.03010601973
69	0.02990975721
70	0.02967825812
71	0.02954982664
72	0.02938223858
73	0.02906670427
74	0.02886494355
75	0.02847220886
76	0.02836904218
77	0.02822244061
78	0.02778904175
79	0.02746413225
80	0.02738524974
81	0.02727571379
82	0.02675586232
83	0.02668315228
84	0.02659664513
85	0.02644679165
86	0.02609216613
87	0.02576408997
88	0.02555343356
89	0.02544423257
90	0.02505563912
91	0.02486334133
92	0.02466231898
93	0.02457886236
94	0.02452739406
95	0.02448008517
96	0.02442310489
97	0.02438208156
98	0.02420446695
99	0.02410371785
